disease,description,symptoms
"Overview
    
 - 
      Lung cancer","Lung cancer is one of the most common and serious types of cancer. More than 43,000 people are diagnosed with the condition every year in the UK.
There are usually no signs or symptoms in the early stages of lung cancer, but many people with the condition eventually develop symptoms including:","- a persistent cough
- coughing up blood
- persistent breathlessness
- unexplained tiredness and weight loss
- an ache or pain when breathing or coughing"
Lung cancer screening,"If you're aged between 55 and 74 and have ever smoked, you may be offered an NHS lung health check (lung cancer screening).
Lung cancer causes more deaths than any other cancer in the UK. There are often no signs or symptoms of lung cancer at an early stage.","- a cough that does not go away after 3 weeks
- an existing cough that changes or gets worse
- chest infections that keep coming back
- coughing up blood
- being short of breath a lot
- unexplained tiredness
- an ache or pain when breathing or coughing
- loss of appetite or unexplained weight loss"
Lupus,"Lupus(systemic lupus erythematosus) is a long-term condition that causes joint pain, skin rashes and tiredness. There's no cure, but symptoms can improve if treatment starts early.
There are lots of possible symptoms of lupus.","Lupus often flares up (relapses) and symptoms become worse for a few weeks, sometimes longer.
Symptoms then settle down (remission). The reason why symptoms flare up or settle down is not known.
Some people do not notice any difference and their symptoms are constant."
Lyme disease,"Lyme disease is a bacterial infection that can be spread to humans by infected ticks. It's usually easier to treat if it's diagnosed early.
A circular or oval shape rash around a tick bite can be an early symptom of Lyme disease in some people.","A circular or oval shape rash around a tick bite can be an early symptom of Lyme disease in some people.
The rash can appear up to 3 months after being bitten by an infected tick, but usually appears within 1 to 4 weeks. It can last for several weeks.
The rash can have a darker or lighter area in the centre and might gradually spread. It's not usually hot or itchy.
The rash may be flat, or slightly raised, and look pink, red, or purple when it appears on white skin. It can be harder to see the rash on brown and black skin and it may look like a bruise.
Some people also get flu-like symptoms a few days or weeks after they were bitten by an infected tick, such as:
- a high temperature, or feeling hot and shivery
- headache
- muscle and joint pain
- tiredness and loss of energy"
"Overview
    
 - 
      Lymphoedema","Lymphoedema is a long-term (chronic) condition that causes swelling in the body's tissues. It can affect any part of the body, but usually develops in the arms or legs.
It develops when the lymphatic system does not work properly. The lymphatic system is a network of channels and glands throughout the body that helps fight infection and remove excess fluid.","The main symptom of lymphoedema is swelling in all or part of a limb or another part of the body. It can be difficult to fit into clothes, and jewellery and watches can feel tight.
At first, the swelling may be soft and easy to push in, leaving a dent, and may come and go. It may get worse during the day and go down overnight. Without treatment, it will usually become more severe and persistent.
Other symptoms in an affected body part can include:
- an aching, heavy feeling
- difficulty with movement
- repeated skin infections
- developing hard, tight or thickened skin
- folds developing in the skin
- wart-like growths developing on the skin
- fluid leaking through the skin
Signs of lymphoedema in the head and neck may include swelling or heaviness in the face, mouth or throat, and problems with swallowing and speech."
Macular hole,"A macular hole is a small gap that opens at the centre of the retina, in an area called the macula.
The retina is the light-sensitive film at the back of the eye. In the centre is the macula – the part responsible for central and fine-detail vision needed for tasks such as reading.",N/A
Magnesium test,"A magnesium test is used to measure the amount of magnesium in your blood.
Magnesiumis a metallic element mainly found in the bones and is essential to life.",N/A
Malaria,"Malaria is a serious infection spread by mosquitoes. If it's not diagnosed and treated quickly, you can die from it.
Malaria is caused by being bitten by an infected mosquito. It can take just 1 bite to get it.","Malaria can be hard to spot, but symptoms include:
- a high temperature, sweats and chills
- headaches and feeling confused
- feeling very tired and sleepy (especially in children)
- feeling and being sick, tummy pain and diarrhoea
- loss of appetite
- muscle pains
- yellow skin or whites of the eyes
- a sore throat, cough and difficulty breathing
These symptoms usually appear between 7 and 18 days after you've been bitten by an infected mosquito.
But sometimes you may not have symptoms for months after travel, and rarely years."
The 'male menopause',"Some men develop depression, loss of sex drive, erectile dysfunction, and other physical and emotional symptoms when they reach their late 40s to early 50s.
Other symptoms common in men this age are:","- mood swings and irritability
- loss of muscle mass and reduced ability to exercise
- fat redistribution, such as developing a large belly or ""man boobs"" (gynaecomastia)
- a general lack of enthusiasm or energy
- difficulty sleeping (insomnia) or increased tiredness
- poor concentration and short-term memory"
Mallet finger,"Mallet finger is an injury to the end of the finger, causing the tip to bend. It's a common sports injury and is treated using a splint.
If you have mallet finger the tip of your finger will bend and you will not be able to straighten it.",N/A
"Overview
    
 - 
      Malnutrition","Malnutrition is a serious condition that happens when your diet does not contain the right amount of nutrients.
It means ""poor nutrition"" and can refer to:","Common signs of malnutrition include:
- unintentional weight loss– losing 5% to 10% or more of weight over 3 to 6 months is one of the main signs of malnutrition
- a low body weight – people with a body mass index (BMI) under 18.5 are at risk of being malnourished (use theBMI calculatorto work out your BMI)
- a lack of interest in eating and drinking
- feeling tired all the time
- feeling weak
- getting ill often and taking a long time to recover
- in children, not growing or not putting on weight at the expected rate
Read more about the symptoms of malnutrition."
Maple syrup urine disease,"Maple syrup urine disease (MSUD) is a rare but serious inherited condition.
It means the body cannot process certain amino acids (the ""building blocks"" of protein), causing a harmful build-up of substances in the blood and urine.","- sweet-smelling urine and sweat
- poor feeding or loss of appetite
- weight loss"
